"workclass","education","marital_status","occupation","relationship","race","sex","income"
"Self emp not inc","Assoc acdm","Divorced","Sales","Not in family","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Handlers and cleaners","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Self emp inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Admin","Not in family","White"," Male","<= 50K USD"
"Local gov","Some college","Never married","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Self emp inc","Prof school","Divorced","Prof specialty","Not in family","White"," Male","> 50K USD"
"Private","Bachelors","Never married","Tech support","Other","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Wife","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Mechanic","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","Black"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Other service","Not in family","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","9th","Married to civilian","Protective service","Husband","White"," Male","<= 50K USD"
"State gov","Assoc voc","Never married","Tech support","Not in family","White"," Female","<= 50K USD"
"Self emp not inc","5th to 6th","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"State gov","Masters","Never married","Prof specialty","Not in family","Asian"," Male","<= 50K USD"
"Local gov","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","Some college","Divorced","Transportation","Not in family","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","Black"," Male","<= 50K USD"
"Local gov","Some college","Divorced","Prof specialty","Unmarried","White"," Female","<= 50K USD"
"Private","HS grad","Divorced","Admin","Own child","Black"," Female","<= 50K USD"
"Federal gov","Some college","Never married","Executive","Not in family","White"," Male","<= 50K USD"
"Private","5th to 6th","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Transportation","Husband","Native American"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","White"," Female","<= 50K USD"
"Federal gov","HS grad","Married to civilian","Admin","Husband","White"," Male","<= 50K USD"
"Self emp inc","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Federal gov","Some college","Married to civilian","Executive","Wife","Black"," Female","> 50K USD"
"Private","HS grad","Married to civilian","Farming and fishing","Husband","Other"," Male","<= 50K USD"
"Private","12th","Never married","Sales","Own child","White"," Female","<= 50K USD"
"Private","HS grad","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Self emp not inc","Bachelors","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Some college","Never married","Handlers and cleaners","Not in family","White"," Male","<= 50K USD"
"Self emp inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Private house service","Wife","White"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Admin","Wife","Black"," Female","<= 50K USD"
"Private","Bachelors","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Federal gov","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Protective service","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"State gov","Bachelors","Divorced","Prof specialty","Not in family","White"," Female","<= 50K USD"
"Private","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Self emp not inc","Some college","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Transportation","Not in family","White"," Male","<= 50K USD"
"Private","7th to 8th","Separated","Farming and fishing","Not in family","White"," Male","<= 50K USD"
"Private","Masters","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","HS grad","Separated","Sales","Not in family","White"," Female","<= 50K USD"
"Local gov","Bachelors","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"State gov","Some college","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"State gov","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Private","Assoc voc","Married to civilian","Executive","Husband","Black"," Male","> 50K USD"
"Private","Some college","Divorced","Admin","Not in family","White"," Female","<= 50K USD"
"Private","Some college","Married to civilian","Transportation","Husband","White"," Male","<= 50K USD"
"Private","11th","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Self emp not inc","1st to 4th","Married spouse absent","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","11th","Married to civilian","Handlers and cleaners","Own child","White"," Male","<= 50K USD"
"Local gov","Some college","Never married","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Doctorate","Never married","Prof specialty","Not in family","White"," Female","> 50K USD"
"Private","Some college","Never married","Prof specialty","Own child","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Doctorate","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Wife","White"," Female","> 50K USD"
"Federal gov","HS grad","Never married","Other service","Own child","Black"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Other service","Not in family","White"," Female","<= 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","7th to 8th","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","Some college","Separated","Sales","Unmarried","Black"," Female","<= 50K USD"
"Private","Bachelors","Divorced","Protective service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Admin","Not in family","Black"," Female","<= 50K USD"
"Private","HS grad","Never married","Sales","Not in family","Black"," Female","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Farming and fishing","Husband","White"," Male","> 50K USD"
"Private","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Craft and Repair","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","1st to 4th","Never married","Other service","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Executive","Unmarried","White"," Female","<= 50K USD"
"Private","Some college","Divorced","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Married to civilian","Mechanic","Husband","White"," Male","<= 50K USD"
"Private","HS grad","Divorced","Mechanic","Not in family","White"," Female","<= 50K USD"
"State gov","Some college","Married to civilian","Admin","Wife","White"," Female","<= 50K USD"
"Local gov","HS grad","Widowed","Other service","Unmarried","Black"," Female","<= 50K USD"
"Private","Assoc acdm","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Self emp inc","Prof school","Married to civilian","Prof specialty","Husband","White"," Male","> 50K USD"
"Local gov","Some college","Married to civilian","Protective service","Husband","White"," Male","> 50K USD"
"Private","7th to 8th","Married to civilian","Farming and fishing","Husband","White"," Male","<= 50K USD"
"State gov","Masters","Married to civilian","Executive","Husband","White"," Male","> 50K USD"
"Private","Some college","Married to civilian","Other service","Husband","White"," Male","<= 50K USD"
"Self emp not inc","HS grad","Married to civilian","Sales","Husband","White"," Male","<= 50K USD"
"Private","Some college","Never married","Other service","Not in family","Asian"," Male","<= 50K USD"
"Private","Assoc acdm","Married spouse absent","Craft and Repair","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Married to civilian","Executive","Husband","White"," Male","<= 50K USD"
"Private","Assoc acdm","Never married","Craft and Repair","Own child","White"," Male","<= 50K USD"
"Self emp inc","Some college","Married to civilian","Sales","Husband","White"," Male","> 50K USD"
"Private","Bachelors","Married spouse absent","Other service","Not in family","White"," Male","<= 50K USD"
"Private","Some college","Never married","Mechanic","Own child","White"," Male","<= 50K USD"
"Private","HS grad","Never married","Other service","Unmarried","Black"," Male","<= 50K USD"
